"hat";"mean";"se_mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"n_eff";"Rhat"
"y_hat[144]";0.32;0;0.06;0.21;0.28;0.32;0.36;0.43;1731.57;1
"y_hat[145]";0.22;0;0.06;0.11;0.19;0.22;0.26;0.33;2158.03;1
"y_hat[146]";-5.77;0.04;0.7;-7.21;-6.24;-5.74;-5.27;-4.53;378.74;1
"y_hat[147]";-1.01;0;0.08;-1.19;-1.07;-1.01;-0.95;-0.85;912.1;1
"y_hat[148]";-5.88;0.04;0.73;-7.39;-6.37;-5.84;-5.35;-4.59;374.4;1
"y_hat[149]";0.17;0;0.06;0.05;0.13;0.17;0.21;0.28;2249.55;1
"y_hat[150]";-1.56;0;0.1;-1.75;-1.63;-1.56;-1.49;-1.37;1586.06;1
"y_hat[151]";0.1;0;0.06;-0.01;0.06;0.1;0.14;0.21;2282.86;1
"y_hat[152]";-5.87;0.04;0.73;-7.37;-6.36;-5.83;-5.35;-4.58;374.81;1
"y_hat[153]";-4.89;0.02;0.47;-5.84;-5.21;-4.88;-4.56;-4.03;433.88;1
"y_hat[154]";-5.2;0.03;0.54;-6.31;-5.57;-5.19;-4.82;-4.21;409.02;1
"y_hat[155]";-5.54;0.03;0.63;-6.84;-5.97;-5.51;-5.09;-4.4;389.11;1
"y_hat[156]";-6;0.04;0.77;-7.58;-6.5;-5.95;-5.44;-4.65;370.41;1
"y_hat[157]";-0.66;0;0.07;-0.82;-0.71;-0.66;-0.61;-0.53;896.09;1
"y_hat[158]";-1.46;0;0.1;-1.64;-1.52;-1.45;-1.39;-1.27;1472.62;1
"y_hat[159]";-4.62;0.02;0.41;-5.44;-4.89;-4.61;-4.33;-3.86;464.44;1
"y_hat[160]";-5.34;0.03;0.58;-6.52;-5.73;-5.32;-4.93;-4.3;399.96;1
"y_hat[161]";0.23;0;0.06;0.12;0.2;0.23;0.27;0.34;2136.38;1
"y_hat[162]";-5.57;0.03;0.64;-6.88;-6;-5.54;-5.11;-4.42;387.72;1
"y_hat[163]";-0.11;0;0.06;-0.23;-0.15;-0.11;-0.07;0;1977.31;1
