"shore";"ref_ecotype";"distAlongPath";"length_mm";"test_sex";"dur_mean";"dur_max";"mountYN";"size_ratio";"size_ratio2";"log_male";"log_female";"shape";"y_rep";"y_rep_se";"preds";"uci_preds";"lci_preds";"y_preds"
"CZC";"crab";104.4799109;12.1650129;"male";39;39;1;-0.109801247;0.012056314;2.498564037;2.388762789;0.016254381;0.46125;0.00788290202977956;0.47;0.498;0.442;0
"CZC";"crab";104.4799109;12.1650129;"male";7;7;1;-0.073761311;0.005440731;2.498564037;2.424802726;0.016254381;0.498;0.0079304030870811;0.496;0.523;0.469;1
"CZC";"wave";104.5304145;10.03161683;"male";39;39;1;-0.449443798;0.201999728;2.305741788;1.85629799;0.100073461;0.19225;0.00623154815620531;0.187;0.217;0.159;1
"CZC";"crab";104.5304145;10.03161683;"male";NA;NA;0;0.170796612;0.029171483;2.305741788;2.4765384;0.100073461;0.608;0.00772089247143488;0.606;0.633;0.578;0
"CZC";"crab";104.5304145;10.03161683;"male";40;77;1;0.318926804;0.101714306;2.305741788;2.624668592;0.100073461;0.61375;0.00783497082098438;0.62;0.649;0.592;1
"CZB";"wave";104.5785352;11.5043947;"male";NA;NA;0;-0.525806498;0.276472473;2.44272911;1.916922612;0.015629452;0.142;0.00551965729499247;0.136;0.163;0.112;0
"CZB";"crab";104.5785352;11.5043947;"male";NA;NA;0;-0.388605376;0.151014139;2.44272911;2.054123734;0.015629452;0.233;0.00675954477398025;0.235;0.267;0.204;0
"CZB";"crab";104.5785352;11.5043947;"male";NA;NA;0;-0.21271471;0.045247548;2.44272911;2.2300144;0.015629452;0.3925;0.00811787489760588;0.387;0.418;0.355;0
"CZC";"crab";104.6923032;10.03805935;"female";1;1;1;-0.054470197;0.002967002;2.360854001;2.306383804;0.082761807;0.50975;0.00790517914656808;0.509;0.535;0.481;1
"CZC";"crab";104.6923032;10.03805935;"female";NA;NA;0;-0.325505036;0.105953529;2.63188884;2.306383804;0.082761807;0.27825;0.00708655693530358;0.288;0.321;0.256;0
"CZC";"wave";104.6923032;10.03805935;"female";NA;NA;0;1.053620835;1.110116864;1.252762968;2.306383804;0.082761807;0.29;0.00723304982101744;0.289;0.326;0.256;0
"CZC";"wave";104.6923032;10.03805935;"female";NA;NA;0;0.61998485;0.384381214;1.686398954;2.306383804;0.082761807;0.54;0.00808143861932923;0.543;0.575;0.509;1
"CZA";"wave";104.7012077;6.127596569;"male";NA;NA;0;0.204763542;0.041928108;1.812802596;2.017566138;0.012952783;0.6125;0.00799269185952866;0.613;0.64;0.585;0
