"rep";"y_rep"
"y_rep[421]";0.0125
"y_rep[422]";0.0145
"y_rep[423]";0.015
"y_rep[424]";0.008
"y_rep[425]";0.62275
"y_rep[426]";0.00625
"y_rep[427]";0.00525
"y_rep[428]";0.03425
"y_rep[429]";0.594
"y_rep[430]";0.02225
"y_rep[431]";0.0075
"y_rep[432]";0.61125
"y_rep[433]";0.6145
"y_rep[434]";0.01375
"y_rep[435]";0.01125
"y_rep[436]";0.0225
"y_rep[437]";0.012
"y_rep[438]";0.54175
"y_rep[439]";0.418
"y_rep[440]";0.01225
"y_rep[441]";0.006
"y_rep[442]";0.4765
"y_rep[443]";0.051
"y_rep[444]";0.588
"y_rep[445]";0.011
"y_rep[446]";0.61975
"y_rep[447]";0.1715
"y_rep[448]";0.578
"y_rep[449]";0.56325
"y_rep[450]";0.59625
"y_rep[451]";0.5825
"y_rep[452]";0.43775
"y_rep[453]";0.45775
"y_rep[454]";0.309
"y_rep[455]";0.04075
"y_rep[456]";0.627
"y_rep[457]";0.00425
"y_rep[458]";0.0635
"y_rep[459]";0.02175
"y_rep[460]";0.012
"y_rep[461]";0.046
"y_rep[462]";0.02175
"y_rep[463]";0.0205
"y_rep[464]";0.02475
"y_rep[465]";0.015
"y_rep[466]";0.39975
"y_rep[467]";0.358
"y_rep[468]";0.017
"y_rep[469]";0.01275
"y_rep[470]";0.0095
"y_rep[471]";0.60725
"y_rep[472]";0.5055
"y_rep[473]";0.00925
"y_rep[474]";0.618
"y_rep[475]";0.00825
"y_rep[476]";0.61225
"y_rep[477]";0.6055
"y_rep[478]";0.0085
"y_rep[479]";0.52025
"y_rep[480]";0.51925
"y_rep[481]";0.0245
"y_rep[482]";0.5525
"y_rep[483]";0.009
"y_rep[484]";0.1355
"y_rep[485]";0.01725
"y_rep[486]";0.0255
"y_rep[487]";0.419
"y_rep[488]";0.6165
"y_rep[489]";0.02125
"y_rep[490]";0.00675
"y_rep[491]";0.58725
"y_rep[492]";0.34575
"y_rep[493]";0.594
"y_rep[494]";0.02425
"y_rep[495]";0.01375
"y_rep[496]";0.57575
"y_rep[497]";0.01825
"y_rep[498]";0.01225
"y_rep[499]";0.623
"y_rep[500]";0.0125
"y_rep[501]";0.0305
"y_rep[502]";0.539
"y_rep[503]";0.60075
"y_rep[504]";0.015
"y_rep[505]";0.01125
"y_rep[506]";0.54425
"y_rep[507]";0.015
"y_rep[508]";0.00975
"y_rep[509]";0.61025
"y_rep[510]";0.59775
"y_rep[511]";0.02175
"y_rep[512]";0.007
"y_rep[513]";0.2915
"y_rep[514]";0.14225
"y_rep[515]";0.04375
"y_rep[516]";0.01575
"y_rep[517]";0.50625
"y_rep[518]";0.0105
"y_rep[519]";0.011
"y_rep[520]";0.0055
