snail_ID;ref_ecotype;ref_size;length_mm;thick_mean_mm;DistAlongPath;sex;dur_mean;dur_max;mountYNcontact;male_size;female_size;test_Pact;size_ratio;size_ratio2;log_male;log_female;Shape;shore;type;ref_Pact;both_Pactive;CS;SN_rock;SN_barnacle;SN_fucus;topo
CZA445;crab;12.05;11.61284643;0.589;297.1033335;female;36;36;1;12.05;11.61284643;0.891666667;-0.036952724;0.001365504;2.48906466;2.452111936;-0.033312418;CZA;NA;NA;NA;NA;1;-0.254225126;-1;NA
CZA445;wave;4.19;11.61284643;0.589;297.1033335;female;NA;NA;0;4.19;11.61284643;1;1.019411202;1.039199199;1.432700734;2.452111936;-0.033312418;CZA;NA;NA;NA;NA;1;-0.254225126;-1;NA
CZA449;crab;11.72;6.916834537;0.183;298.6573332;male;13;19;1;6.916834537;11.72;1;0.527338556;0.278085953;1.933958228;2.461296784;-0.085007189;CZA;NA;NA;NA;NA;1;-0.209762977;-0.662105927;NA
CZA453;crab;10.28;5.930217528;0.112333333;299.1498563;female;NA;NA;0;10.28;5.930217528;0.925;-0.550139365;0.302653321;2.33020026;1.780060895;-0.018355061;CZA;NA;NA;NA;NA;1;-0.827428608;-0.827428608;NA
CZA453;wave;4.14;5.930217528;0.112333333;299.1498563;female;9.75;17;1;4.14;5.930217528;0.958333333;0.359365107;0.12914328;1.420695788;1.780060895;-0.018355061;CZA;NA;NA;NA;NA;1;-0.827428608;-0.827428608;NA
CZA450;crab;9.02;5.426488297;0.179666667;299.4385255;male;8.5;14;1;5.426488297;9.02;0.925;0.508152132;0.258218589;1.691292202;2.199444334;-0.105039705;CZA;NA;NA;NA;NA;1;-0.207037748;-0.391197385;NA
CZA450;wave;4.9;5.426488297;0.179666667;299.4385255;male;NA;NA;0;5.426488297;4.9;0.891666667;-0.102056997;0.010415631;1.691292202;1.589235205;-0.105039705;CZA;NA;NA;NA;NA;1;-0.207037748;-0.391197385;NA
CZA452;crab;10.94;4.943737868;0.140333333;299.7326865;male;NA;NA;0;4.943737868;10.94;1;0.794304098;0.630919001;1.598121699;2.392425797;-0.052732221;CZA;NA;NA;NA;NA;1;-0.622053975;-0.622053975;NA
CZA452;wave;5.28;4.943737868;0.140333333;299.7326865;male;26;26;1;4.943737868;5.28;0.941666667;0.065804399;0.004330219;1.598121699;1.663926098;-0.052732221;CZA;NA;NA;NA;NA;1;-0.622053975;-0.622053975;NA
CZB444;crab;9.5;3.962977017;0.104;3.821078245;male;6;6;1;3.962977017;9.5;0.933333333;0.874296284;0.764393992;1.376995515;2.251291799;-0.036292933;CZB;RNN;0.991666667;0.9625;6.007754044;1;-0.77330303;-0.924779464;1.059
CZB444;crab;12.3;3.962977017;0.104;3.821078245;male;NA;NA;0;3.962977017;12.3;0.983333333;1.132603748;1.282791249;1.376995515;2.509599262;-0.036292933;CZB;RNN;0.983333333;0.983333333;6.007754044;1;-0.77330303;-0.924779464;1.059
CZB444;wave;5.5;3.962977017;0.104;3.821078245;male;113;113;1;3.962977017;5.5;0.983333333;0.327752577;0.107421752;1.376995515;1.704748092;-0.036292933;CZB;RNN;0.933333333;0.958333333;6.007754044;1;-0.77330303;-0.924779464;1.059
CZB444;wave;7.8;3.962977017;0.104;3.821078245;male;5;5;1;3.962977017;7.8;0.966666667;0.677128219;0.458502625;1.376995515;2.054123734;-0.036292933;CZB;RNN;0.65;0.808333333;6.007754044;1;-0.77330303;-0.924779464;1.059
CZB415;crab;10.2;5.65572392;0.112333333;30.08661841;female;NA;NA;0;10.2;5.65572392;1;-0.589719605;0.347769212;2.32238772;1.732668116;-0.044146643;CZB;RBN;1;1;8.679549317;1;-0.151903801;-0.304338491;0.904
CZB415;crab;12.1;5.65572392;0.112333333;30.08661841;female;NA;NA;0;12.1;5.65572392;1;-0.760537337;0.578417041;2.493205453;1.732668116;-0.044146643;CZB;RBN;1;1;8.679549317;1;-0.151903801;-0.304338491;0.904
CZB415;wave;3.2;5.65572392;0.112333333;30.08661841;female;NA;NA;0;3.2;5.65572392;1;0.569517306;0.324349962;1.16315081;1.732668116;-0.044146643;CZB;RBN;0.966666667;0.983333333;8.679549317;1;-0.151903801;-0.304338491;0.904
CZB415;wave;5.8;5.65572392;0.112333333;30.08661841;female;153;153;1;5.8;5.65572392;1;-0.025189802;0.000634526;1.757857918;1.732668116;-0.044146643;CZB;RBN;0.95;0.975;8.679549317;1;-0.151903801;-0.304338491;0.904
CZC219;crab;10.3;4.834709433;0.188666667;30.33795945;male;17;17;1;4.834709433;10.3;0.975;0.756322865;0.572024276;1.575821031;2.332143895;-0.081845712;CZC;RBN;0.975;0.975;7.453852247;1;0.666814686;-1;0.257
CZC219;crab;12.2;4.834709433;0.188666667;30.33795945;male;9;9;1;4.834709433;12.2;0.958333333;0.925614921;0.856762982;1.575821031;2.501435952;-0.081845712;CZC;RBN;0.941666667;0.95;7.453852247;1;0.666814686;-1;0.257
CZC219;wave;4.2;4.834709433;0.188666667;30.33795945;male;18;18;1;4.834709433;4.2;0.991666667;-0.140736505;0.019806764;1.575821031;1.435084525;-0.081845712;CZC;RBN;0.991666667;0.991666667;7.453852247;1;0.666814686;-1;0.257
CZC219;wave;4.2;4.834709433;0.188666667;30.33795945;male;18;18;1;4.834709433;4.2;1;-0.140736505;0.019806764;1.575821031;1.435084525;-0.081845712;CZC;RBN;0.95;0.975;7.453852247;1;0.666814686;-1;0.257
CZB413;crab;8.3;4.711757965;0.157666667;30.93762237;female;NA;NA;0;8.3;4.711757965;1;-0.566194435;0.320576139;2.116255515;1.550061079;-0.016980885;CZB;RNN;1;1;7.185198598;1;-0.333939702;-0.524198383;1.515
CZB413;wave;5.3;4.711757965;0.157666667;30.93762237;female;10;10;1;5.3;4.711757965;1;-0.117645741;0.01384052;1.667706821;1.550061079;-0.016980885;CZB;RNN;0.991666667;0.995833333;7.185198598;1;-0.333939702;-0.524198383;1.515
CZB413;wave;6;4.711757965;0.157666667;30.93762237;female;NA;NA;0;6;4.711757965;1;-0.24169839;0.058418112;1.791759469;1.550061079;-0.016980885;CZB;RNN;1;1;7.185198598;1;-0.333939702;-0.524198383;1.515
CZA455;crab;10.97;4.569789707;0.132;301.4993763;female;NA;NA;0;10.97;4.569789707;1;-0.875697086;0.766845387;2.395164274;1.519467188;-0.020186659;CZA;NA;NA;NA;NA;1;0.660837967;0.096315998;NA
CZA455;wave;3.37;4.569789707;0.132;301.4993763;female;29;35;1;3.37;4.569789707;1;0.304554444;0.092753409;1.214912744;1.519467188;-0.020186659;CZA;NA;NA;NA;NA;1;0.660837967;0.096315998;NA
CZA456;crab;12.87;5.42582895;0.175666667;301.9183206;male;45;45;1;5.42582895;12.87;0.925;0.863728332;0.746026632;1.69117069;2.554899022;-0.118196005;CZA;NA;NA;NA;NA;1;0.673886651;0.061581309;NA
CZA456;wave;7.64;5.42582895;0.175666667;301.9183206;male;16.5;24;1;5.42582895;7.64;0.991666667;0.342226914;0.11711926;1.69117069;2.033397603;-0.118196005;CZA;NA;NA;NA;NA;1;0.673886651;0.061581309;NA
CZA458;crab;12.94;4.004073288;0.129666667;302.827806;male;3;3;1;4.004073288;12.94;1;1.173011124;1.375955097;1.387312165;2.560323289;-0.12096638;CZA;NA;NA;NA;NA;1;0.471489109;-0.33971594;NA
CZA459;crab;12.06;3.366057306;0.056;303.5443546;female;NA;NA;0;12.06;3.366057306;0.991666667;-1.276152071;1.628564108;2.489894191;1.213742121;-0.114894571;CZA;NA;NA;NA;NA;1;-0.010044525;-0.66375924;NA
CZA459;wave;3.36;3.366057306;0.056;303.5443546;female;30;30;1;3.36;3.366057306;0.983333333;0.001801147;3.24e-06;1.211940974;1.213742121;-0.114894571;CZA;NA;NA;NA;NA;1;-0.010044525;-0.66375924;NA
CZA460;wave;4.4;5.007878596;0.117;304.1843265;female;NA;NA;0;4.4;5.007878596;0.991666667;0.129407851;0.016746392;1.481604541;1.611012391;-0.052136957;CZA;NA;NA;NA;NA;1;-0.276078656;-0.710431317;NA
CZA461;crab;10.89;4.456946561;0.053;305.1119465;female;NA;NA;0;10.89;4.456946561;1;-0.893381033;0.79812967;2.387844937;1.494463904;-0.042743206;CZA;NA;NA;NA;NA;1;0.059779608;-0.393078694;NA
CZA461;wave;4.19;4.456946561;0.053;305.1119465;female;14.5;23;1;4.19;4.456946561;1;0.06176317;0.003814689;1.432700734;1.494463904;-0.042743206;CZA;NA;NA;NA;NA;1;0.059779608;-0.393078694;NA
CZA462;wave;4.34;3.80577117;0.065333333;305.8572473;male;NA;NA;0;3.80577117;4.34;1;0.131355705;0.017254321;1.336518644;1.467874348;-0.047550181;CZA;NA;NA;NA;NA;1;-0.05547647;-0.472635553;NA
CZA463;crab;14.03;4.987052176;0.121;305.8572473;female;NA;NA;0;14.03;4.987052176;1;-1.034352905;1.069885933;2.641197894;1.606844989;-0.079840933;CZA;NA;NA;NA;NA;1;0.209362993;-0.322555391;NA
CZA463;wave;2.8;4.987052176;0.121;305.8572473;female;3;3;1;2.8;4.987052176;1;0.577225572;0.333189361;1.029619417;1.606844989;-0.079840933;CZA;NA;NA;NA;NA;1;0.209362993;-0.322555391;NA
CZA466;crab;10.61;4.230970642;0.106333333;307.4559966;female;NA;NA;0;10.61;4.230970642;1;-0.91936552;0.845232959;2.361796953;1.442431433;-0.11131777;CZA;NA;NA;NA;NA;1;0.305979177;-0.674523404;NA
