shore;ref_ecotype;distAlongPath;test_sex;dur_mean;dur_max;mountYN;size_ratio;size_ratio2;log_male;log_female;shape
CZA;crab;326.5222376;male;NA;NA;0;0.606844974;0.368260822;1.780999963;2.387844937;-0.047831072
CZB;crab;48.61935589;male;77;77;1;0.212397689;0.045112778;2.1763651;2.388762789;-0.040137422
CZB;crab;106.4436682;male;5.5;8;1;0.092875757;0.008625906;2.295887033;2.388762789;0.063654487
CZB;crab;151.4479663;male;52;52;1;0.060330126;0.003639724;2.328432664;2.388762789;0.041472772
CZB;crab;29.42565459;male;NA;NA;0;1.113866657;1.240698929;1.274896132;2.388762789;-0.056121534
CZB;crab;61.32555994;male;NA;NA;0;1.15612549;1.336626148;1.232637299;2.388762789;-0.034656357
CZB;crab;74.70697992;male;NA;NA;0;-0.085750009;0.007353064;2.474512798;2.388762789;0.043649271
CZB;crab;81.2758271;male;5;5;1;-0.044469981;0.001977579;2.43323277;2.388762789;0.068847264
CZC;crab;146.4612975;male;NA;NA;0;0.932615203;0.869771117;1.456147586;2.388762789;-0.041651851
CZC;crab;33.16132988;male;6.333333333;10;1;0.037607278;0.001414307;2.351155511;2.388762789;0.045268987
CZC;crab;36.25742878;male;NA;NA;0;0.997650701;0.99530692;1.391112089;2.388762789;-0.0840114
CZC;crab;96.17225624;male;1;1;1;0.17716914;0.031388904;2.211593649;2.388762789;0.074780188
CZC;crab;104.4799109;male;39;39;1;-0.109801247;0.012056314;2.498564037;2.388762789;0.016254381
CZC;crab;102.5185357;male;38;38;1;-0.022612416;0.000511321;2.411375205;2.388762789;0.068421767
CZD;crab;45.86466868;male;18;24;1;0.854565766;0.730282649;1.534197023;2.388762789;-0.070281098
CZD;crab;55.26664055;male;2;2;1;-0.01893181;0.000358413;2.407694599;2.388762789;-0.01038172
CZD;crab;58.41183403;male;NA;NA;0;1.240128775;1.537919378;1.148634014;2.388762789;-0.155119711
CZD;crab;84.78242309;male;NA;NA;0;-0.156691739;0.024552301;2.545454528;2.388762789;-0.004442426
CZD;crab;73.75359984;male;NA;NA;0;-0.358190257;0.12830026;2.746953046;2.388762789;0.038873704
CZD;crab;109.0544345;male;NA;NA;0;0.088207566;0.007780575;2.300555223;2.388762789;0.038010817
CZD;crab;142.8509858;male;NA;NA;0;0.0463809;0.002151188;2.342381889;2.388762789;0.063628946
CZD;crab;202.975599;male;93;93;1;0.307586365;0.094609372;2.081176424;2.388762789;0.04569961
CZA;crab;209.3202777;male;NA;NA;0;-0.205726742;0.042323492;2.595406542;2.3896798;0.042213708
CZA;crab;174.3655735;male;NA;NA;0;0.943247727;0.889716275;1.446432073;2.3896798;-0.080535768
CZD;crab;161.3836343;female;NA;NA;0;-0.159618058;0.025477925;2.549445171;2.389827113;0.058171025
CZD;crab;161.3836343;female;NA;NA;0;-0.167400199;0.028022827;2.557227311;2.389827113;0.058171025
CZD;wave;161.3836343;female;NA;NA;0;1.360207695;1.850164975;1.029619417;2.389827113;0.058171025
CZA;crab;234.8041003;female;NA;NA;0;0.016990305;0.00028867;2.373043557;2.390033862;0.071038431
